NDB_No,Shrt_Desc,Energ_Kcal,Protein_(g),Carbohydrt_(g),Sugar_Tot_(g),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
23292,"BEEF,TOP LOIN PETITE RST/FILET,BNLS,LN & FAT,1/8"" FAT,SEL,RW",170,21.6,0,0,2.803,3.882,0.259,76
23321,"BEEF,ASTRLN,WAGYU,RIB,SMLND RB STK/RST,BNLS,LN &FAT,MRBL SCR",317,17.07,0,0,10.329,13.685,0.763,76
23349,"BEEF,RND,TOP RND RST,BNLESS,LN & FAT,0"" FAT,CHOIC,CKD,RSTD",163,30.08,0,0,1.837,2.158,0.312,76
23352,"BEEF,RND,EYE OF RD STEAK,BNLESS,L & F,0"" FT,CHOIC,CK,GRLLED",163,29.79,0,0,1.744,2.059,0.346,76
23379,"BEEF,RND,TOP RND RST,BNLESS,LN,0"" FAT,CHOIC,CKD,RSTD",158,30.24,0.06,0,1.547,1.832,0.286,76
23382,"BEEF,RND,EYE OF RND STEAK,BNLESS,LN,0"" FAT,CHOIC,CKD,GRILLED",158,29.94,0,0,1.476,1.757,0.322,76
23422,"BEEF,NZ,IMP,KNUCKLE,CKD,FAST FRIED",178,27.51,0,0,2.299,2.353,0.337,76
23598,"BEEF,RND,EYE OF RND,RST,LN,1/8"" FAT,ALL GRDS,CKD,RSTD",169,29.73,0,0,1.624,1.97,0.209,76
23604,"BEEF,RND,BTTM RND,RST,LN,1/8"" FAT,ALL GRDS,CKD",163,28,0,0,1.972,2.391,0.231,76
23649,"BEEF,BTTM SIRLOIN,TRI-TIP RST,LN,0"" FAT,SEL,CKD,RSTD",179,27.17,0,0,2.517,3.502,0.223,76
23655,"BEEF,FLANK,STEAK,LN,0"" FAT,SEL,CKD,BRLD",178,27.96,0,0,2.688,2.554,0.256,76
43391,"TURKEY,LT OR DK MEAT,SMOKED,CKD,SKN & BONE REMOVED",170,29.3,0,0,1.65,1.036,1.439,76
01004,"CHEESE,BLUE",353,21.4,2.34,0.5,18.669,7.778,0.8,75
01188,KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU,276,12,9.2,6.7,13.1,,,75
05006,"CHICKEN,BROILERS OR FRYERS,MEAT & SKN,RAW",215,18.6,0,0,4.31,6.24,3.23,75
05061,"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT&SKN,CKD,STWD",184,27.39,0,0,2.08,2.9,1.58,75
05114,"CHICKEN,ROASTING,MEAT ONLY,CKD,RSTD",167,25.01,0,,1.81,2.5,1.51,75
05118,"CHICKEN,ROASTING,LT MEAT,MEAT ONLY,CKD,RSTD",153,27.13,0,0,1.08,1.52,0.93,75
05120,"CHICKEN,ROASTING,DK MEAT,MEAT ONLY,CKD,RSTD",178,23.25,0,,2.43,3.31,2,75
05135,"CHICKEN,CAPONS,MEAT&SKN,RAW",234,18.77,0,0,4.95,7.31,3.62,75
05292,"TURKEY PATTIES,BREADED,BATTERED,FRIED",283,14,15.7,0.32,4.69,7.47,4.71,75
05657,"OSTRICH,TOP LOIN,RAW",119,21.67,0,0,1.2,1.06,0.58,75
07011,BOLOGNA  TURKEY,209,11.42,4.68,2.9,4.355,6.836,3.854,75
07277,"HORMEL SPAM,LT LUNCH MT,PORK & CHICK,MINCED,CND,VIT C ADDED",191,15.23,1.35,1.26,4.49,7.02,1.47,75
07909,"LUNCHEON MEAT,PORK&CHICK,MINCED,CND,INCL SPAM LITE",196,15.23,1.35,1.26,4.514,7.02,1.47,75
07937,BOLOGNA  PORK  TURKEY & BF,336,11.56,6.66,1.35,11.7,12.789,2.512,75
07955,"TURKEY SAUSAGE,FRSH,RAW",155,18.79,0.47,0,1.963,2.624,2.386,75
10043,"PORK,FRSH,LOIN,CNTR LOIN (ROASTS),BONE-IN,LN,CKD,RSTD",194,28.58,0,0,2.932,3.398,1.162,75
10158,"USDA CMDTY,PORK,CND",196,19.4,0.59,0,4.225,5.935,1.79,75
10189,"PORK,FRSH,LOIN,CNTR LON (CHPS),BNLESS,LN & FAT,CKD,PAN-BRLED",229,26.68,0,0,4.89,5.932,2.198,75
10858,"PORK,FRSH,LOIN,TOP LOIN (CHOPS),BNLESS,ENH,LN,CKD,PAN-BROIL",169,28.95,0,0,1.797,2.406,0.691,75
10859,"PRK,FRSH,TOP LOIN (CHPS),BNLESS,ENHCD,LN & FAT,CKD,PAN-BRLD",190,28.35,0,0,2.725,3.5,0.664,75
13871,"BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,CHOIC,RAW",198,20.71,0,0,4.784,5.251,0.464,75
13929,"BEEF,TOP SIRLOIN,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,RAW",201,20.3,0,0,5.127,5.44,0.483,75
15047,"MACKEREL,ATLANTIC,CKD,DRY HEAT",262,23.85,0,,4.176,7.006,4.3,75
15094,"SHAD,AMERICAN,RAW",197,16.93,0,0,3.126,5.724,3.268,75
17169,"GAME MEAT,GOAT,CKD,RSTD",143,27.1,0,0,0.93,1.36,0.23,75
17258,"LAMB,NZ,IMP,FRZ,LEG,WHL (SHK&SIRL),LN&FAT,1/8""FAT,RAW",201,18.76,0,,6.67,5.13,0.59,75
17276,"VEAL,SHANK (FORE&HIND),LN&FAT,RAW",113,19.15,0,,1.06,1.257,0.363,75
17278,"VEAL,SHANK (FORE&HIND),LN,RAW",108,19.28,0,,0.738,0.982,0.334,75
17340,"GAME MEAT,ELK,LOIN,LN,CKD,BRLD",167,31,0,0,1.511,1.092,0.181,75
17355,"LAMB,NZ,IMP,INTERMUSCULAR FAT,RAW",640,4.63,1.26,0,30.741,19.183,2.359,75
18141,"CAKE,YEL,COMMLY PREP,W/VANILLA FRSTNG",391,2.99,56.2,41.79,2.936,7.563,6.378,75
21058,"FAST FOODS,SCALLOPS,BREADED&FRIED",268,10.94,26.73,,3.391,8.718,0.42,75
23046,"BF,RND,KNUCKLE,TIP CNTR,STK,LN & FAT,0"" FAT,CHOIC,CKD,GRLD",188,26.88,0,0,2.759,2.983,0.367,75
23052,"BEEF,RND,OUT RND,BTTM RND,STK,LN & FAT,0"" FAT,SEL,CKD,GRLD",166,28.01,0,0,1.716,2.006,0.286,75
23128,"BEEF,CHUCK,SHRT RIBS,BNLESS,LN & FAT,0"" FAT,ALL GRDS,RAW",235,17.48,0,0,7.979,9.206,1.286,75
23236,"BEEF,RIB,BACK RIBS,BONE-IN,LN & FAT,0"" FAT,ALL GRDS,RAW",324,16.15,0.78,0,12.643,13.811,1.171,75
23577,"BEEF,GROUND,75% LN MEAT / 25% FAT,RAW",293,15.76,0,0,9.568,11.383,0.609,75
23591,"BEEF,RND,EYE OF RND,RST,LN,1/8"" FAT,SEL,CKD,RSTD",163,29.59,0,0,1.416,1.718,0.166,75
23599,"BEEF,RIB,SML END (RIBS 10-12),LN,1/8"" FAT,ALL GRDS,RAW",141,22.33,0,0,1.864,2.029,0.218,75
35188,"FISH,HALIBUT,CKD,W/ SKN (ALASKA NATIVE)",113,22.13,0,0,0.498,0.842,0.731,75
01031,"CHEESE,NEUFCHATEL",253,9.15,3.59,3.19,12.79,5.784,0.97,74
05016,"CHICKEN,BROILERS OR FRYERS,SKN ONLY,CKD,FRIED,BATTER",394,10.32,23.15,,7.61,12.35,6.83,74
05033,"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT&SKN,CKD,STWD",201,26.14,0,,2.8,3.92,2.12,74
05108,"CHICKEN,BROILERS OR FRYERS,WING,MEAT ONLY,CKD,STWD",181,27.18,0,0,2,2.31,1.57,74
05151,"GUINEA HEN,MEAT&SKN,RAW",158,23.4,0,,1.77,2.43,1.41,74
05192,"TURKEY,ALL CLASSES,BREAST,MEAT&SKN,CKD,RSTD",189,28.71,0,,2.1,2.45,1.8,74
05665,"GROUND TURKEY,93% LN,7% FAT,RAW",150,18.73,0,0,2.17,2.843,2.537,74
05709,"TURKEY,RTL PARTS,ENHANCED,BREAST,MEAT ONLY,CKD,RSTD",130,27.94,0,0,0.428,0.67,0.668,74
06128,"SOUP,CHICK NOODLE,DRY,MIX",377,15.42,62.32,1.9,1.969,2.268,1.398,74
07013,"BRATWURST,PORK,CKD",333,13.72,2.85,0,9.998,14.692,2.632,74
07078,"THURINGER,CERVELAT,SMMR SAUSAGE,BF,PORK",362,17.45,3.33,0.85,11.51,12.97,1.2,74
07245,"OSCAR MAYER,WIENERS (CHEESE HOT DOGS W/ TURKEY)",318,12,2.8,1.8,10.025,13.104,3.849,74
07967,"PORK SAUSAGE,LINK/PATTY,FULLY CKD,UNHTD",392,13.46,0.69,0.53,12.129,14.736,6.916,74
10001,"PORK,FRSH,CARCASS,LN&FAT,RAW",376,13.91,0,0,12.44,15.93,3.8,74
10163,"PORK,FRSH,LOIN,CNTR LOIN (CHOPS),BNLESS,LN,CKD,PAN-BROILED",162,30.02,0,0,1.658,2.002,0.606,74
10204,"PORK,FRSH,LOIN,COUNTRY-STYLE RIBS,LN&FAT,RAW",189,19.34,0,0,2.37,2.762,0.966,74
10207,"PORK,FRSH,LOIN,COUNTRY-STYLE RIBS,LN,RAW",140,20.76,0,0,2.012,2.477,0.645,74
10874,"PORK,CURED,HAM W/ NAT JUICES,SHANK,BONE-IN,LN,HTD,RSTD",145,24.95,0.34,0.34,1.564,2.38,0.6,74
10924,"PORK,CURED,HAM W/ NAT JUICES,SHANK,BONE-IN,LN & FAT,HTD,RSTD",191,22.88,0.33,0.33,3.545,5.12,1.351,74
13001,"BEEF,CARCASS,LN&FAT,CHOIC,RAW",291,17.32,0,,9.75,10.47,0.92,74
13002,"BEEF,CARCASS,LN&FAT,SEL,RAW",278,17.48,0,,9.16,9.82,0.86,74
13416,"BEEF,RND,EYE OF RND RST,BNLESS,LN & FT,0"" FAT,CHOIC,CKD,RSTD",171,29.79,0,0,1.656,1.959,0.333,74
13419,"BEEF,RND,EYE OF RND RST,BNLESS,LN,0"" FAT,CHOIC,CKD,RSTD",166,29.94,0,0,1.439,1.713,0.314,74
13424,"BEEF,RND,TIP RND,RST,LN,0"" FAT,ALL GRDS,CKD,RSTD",174,27.53,0,0,2.209,2.537,0.247,74
13974,"BEEF,CHUCK EYE RST,BNLESS,AMERICA'S BF RST,LN,0"" FAT,SEL,RAW",133,20.52,0,0,1.61,3.67,0.37,74
15079,"SALMON,CHUM,RAW",120,20.14,0,,0.84,1.541,0.898,74
15219,"TROUT,MXD SP,CKD,DRY HEAT",190,26.63,0,,1.474,4.172,1.922,74
15267,"FISH,POLLOCK,ALASKA,UNTREATED,CKD",80,19.42,0,,0.053,0.059,0.097,74
17023,"LAMB,DOM,LOIN,LN&FAT,1/4""FAT,CHOIC,RAW",310,16.32,0,,11.76,10.94,2.08,74
17064,"LAMB,NZ,IMP,FRZ,COMP OF RTL CUTS,LN,RAW",128,20.75,0,,1.88,1.69,0.22,74
17239,"LAMB,DOM,RIB,LN&FAT,1/8""FAT,CHOIC,RAW",342,15.32,0,,13.43,12.6,2.42,74
17264,"LAMB,NZ,IMP,FRZ,SHLDR,WHL (ARM&BLD),LN&FAT,1/8""FAT,RAW",251,17.19,0,,9.9,7.57,0.86,74
17361,"LAMB,NZ,IMP,CHUMP,BNLESS,LN,CKD,FAST RSTD",142,23.69,0,0,1.769,1.295,0.344,74
23038,"BF,CHK,SHLDR CLOD,TOP & CNTR,STK,LN & FAT,0"" FAT,CH,CKD,GRLD",184,26.07,0,0,3.031,3.38,0.405,74
23048,"BF,RND,KNUCKLE,TIP CNTR,STEAK,LN & FAT,0"" FAT,SE,CKD,GRILLED",162,26.61,0,0,2.063,2.172,0.341,74
23213,"BEEF,RIB EYE STEAK/ROST,BNLS,LIP-ON,LN & FAT,1/8"" FAT,SEL,RW",230,19.55,0,0,7.515,8.092,0.825,74
23258,"BEEF,LOIN,TOP SIRLOIN FILET,BNLESS,LN,0"" FAT,SEL,CKD,GRILLED",165,30.78,0,0,1.541,2.167,0.161,74
23310,"BEEF,ASTRLN,WAGYU,LN,TNDRLN STK/RST,BNLESS,LN,MRBL SCR 9,RAW",237,18.87,0.57,0,7.377,8.17,0.698,74
23323,"BEEF,ASTRLN,WGYU,LN,TNDRLN STK/RST,BNLS,LN&FT,MRBL SCR 9,RAW",248,18.5,0.58,0,7.788,8.926,0.746,74
23590,"BEEF,RND,BTTM RND RST,LN,1/8"" FAT,SEL,CKD,RSTD",164,28.45,0,0,1.608,1.951,0.207,74
05017,"CHICKEN,BROILERS OR FRYERS,SKN ONLY,CKD,FRIED,FLR",502,19.09,9.34,,11.67,18.01,9.44,73
05062,"CHICKEN,BROILER OR FRYERS,BRST,SKINLESS,BNLESS,MEAT ONLY,RAW",120,22.5,0,0,0.563,0.689,0.424,73
05643,"OSTRICH,FAN,RAW",117,21.81,0,0,0.95,0.95,0.5,73
05645,"OSTRICH,INSIDE LEG,CKD",141,29.01,0,0,0.7,0.67,0.32,73
05646,"OSTRICH,INSIDE STRIP,RAW",127,23.69,0,0,0.923,1.179,0.591,73
05651,"OSTRICH,OYSTER,RAW",125,21.55,0,0,1.22,1.25,0.61,73
07907,"USDA COMMODITY,PORK SAUSAGE,BULK/LINKS/PATTIES,FRZ,RAW",231,14.95,0,,4.968,8.061,2.246,73
07949,FRANKFURTER  MEAT  HTD,278,9.77,4.9,,7.22,10.743,3.963,73
07968,"KIELBASA,FULLY CKD,GRILLED",337,12.45,5.03,2.39,9.894,12.564,5.383,73
07969,"KIELBASA,FULLY CKD,PAN-FRIED",333,12.36,4.78,2.38,9.487,11.79,5.458,73
10008,"PORK,FRSH,LEG (HAM),WHL,LN&FAT,RAW",245,17.43,0,,6.54,8.38,2.01,73
10061,"PORK,FRSH,LOIN,TENDERLOIN,LN,CKD,RSTD",143,26.17,0,0,1.198,1.334,0.506,73
10064,"PORK,FRSH,LOIN,TOP LOIN (CHOPS),BNLESS,LN & FAT,CKD,BRLD",196,26.62,0,0,3.164,3.904,1.048,73
10195,"PORK,FRSH,LOIN,CNTR RIB (CHOPS),BNLESS,LN&FAT,CKD,BRSD",255,26.29,0,,6.12,7.21,1.32,73
10197,"PORK,FRSH,LOIN,CNTR RIB (CHOPS),BNLESS,LN&FAT,CKD,PAN-FRIED",273,25.82,0,0,6.72,7.96,2.08,73
10222,"PORK,FRSH,LOIN,TENDERLOIN,LN&FAT,CKD,RSTD",147,26.04,0,0,1.358,1.521,0.569,73
10802,"USDA COMMODITY,PORK,CURED,HAM,BNLESS,CKD,HTD",149,18.84,0,0,1.701,2.864,0.747,73
10899,"PORK,CURED,HAM,SLICE,BONE-IN,LN,HTD,PAN-BROIL",148,27.18,0.74,0.74,1.253,1.613,0.644,73
10937,"PORK,CURED,HAM,SLICE,BONE-IN,LN & FAT,HTD,PAN-BROIL",180,25.48,0.7,0.7,1.577,2.201,0.598,73
13791,"BEEF,CHUCK EYE RST,BNLS,A BF RST,LN & FAT,0"" FAT,SEL,RAW",173,19.25,0,0,2.94,6.54,1.04,73
13847,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,PRIME,RAW",367,15.77,0,,13.96,14.37,1.23,73
13868,"BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,RAW",192,20.7,0,0,4.544,4.987,0.441,73
15023,"DOLPHINFISH,RAW",85,18.5,0,,0.188,0.121,0.165,73
15052,"MACKEREL,SPANISH,CKD,DRY HEAT",158,23.59,0,,1.801,2.139,1.805,73
17092,"VEAL,COMP OF RTL CUTS,FAT,RAW",638,6.02,0,,32.92,28.44,3.28,73
17093,"VEAL,COMP OF RTL CUTS,FAT,CKD",642,9.42,0,,32.39,27.98,3.23,73
17167,"GAME MEAT,ELK,CKD,RSTD",146,30.19,0,,0.7,0.48,0.4,73
17224,"LAMB,GROUND,RAW",282,16.56,0,0,10.19,9.6,1.85,73
17353,"LAMB,AUSTRALIAN,GROUND,85% LN / 15% FAT,RAW",255,17.14,0,,9.926,7.948,1.119,73
18154,"COOKIES,BROWNIES,PREP FROM RECIPE",466,6.2,50.2,,7.319,10.839,9.412,73
20093,"PASTA,FRESH-REFRIGERATED,PLN,AS PURCHASED",288,11.31,54.73,,0.328,0.271,0.942,73
20095,"PASTA,FRESH-REFRIGERATED,SPINACH,AS PURCHASED",289,11.26,55.72,,0.483,0.659,0.467,73
23066,"BEEF,CHUCK,SHRT RIBS,BNLESS,LN,0"" FAT,CHOIC,RAW",175,19.38,0.29,0,4.55,5.723,0.427,73
23129,"BEEF,CHUCK,SHRT RIBS,BNLESS,LN & FAT,0"" FAT,CHOIC,RAW",240,17.22,0,0,8.141,9.532,1.278,73
23238,"BEEF,RIB,BACK RIBS,BONE-IN,LN & FAT,0"" FAT,SEL,RAW",305,16.75,0.6,0,11.663,12.698,1.1,73
23268,"BEEF,RIBEYE CAP STEAK,BNLESS,LN,0"" FAT,SEL,CKD,GRILLED",226,25.28,1.1,0,4.974,6.05,0.513,73
23298,"BEEF,AUSTRALIAN,WAGYU,EXTERNAL FAT,MRBL SCR 4/5,RAW",596,6.54,0,0,22.504,31.583,1.575,73
23531,"BEEF,CHUCK,CLOD RST,LN & FAT,0"" FAT,SEL,CKD,RSTD",196,27.3,0,0,3.349,4.173,0.446,73
23582,"BEEF,RIB,SML END (RIBS 10-12),LN,1/8"" FAT,SEL,RAW",134,22.53,0,0,1.553,1.69,0.182,73
01007,"CHEESE,CAMEMBERT",300,19.8,0.46,0.46,15.259,7.023,0.724,72
01146,"CHEESE,PARMESAN,SHREDDED",415,37.86,3.41,0.9,17.37,8.734,0.661,72
05119,"CHICKEN,ROASTING,DK MEAT,MEAT ONLY,RAW",113,18.74,0,0,0.93,1.12,0.9,72
05165,"TURKEY,WHL,MEAT & SKN,RAW",143,21.64,0.13,0.07,1.461,1.826,1.466,72
05655,"OSTRICH,TIP RAW",114,21.85,0,0,0.86,0.79,0.45,72
07080,"TURKEY HAM,CURED TURKEY THIGH MEAT",126,17.5,2.04,1.43,1.526,1.902,1.319,72
07240,"OSCAR MAYER,WIENERS (PORK,TURKEY)",327,10.95,2.7,1.8,9.467,13.806,4.255,72
07957,"PORK & TURKEY SAUSAGE,PRE-COOKED",342,12.05,3.63,0,9.881,13.054,4.504,72
10005,"PORK,FRSH,BELLY,RAW",518,9.34,0,0,19.33,24.7,5.65,72
10006,"PORK,FRSH,FAT,RAW",632,9.25,0,0,21.979,28.041,13.186,72
10063,"PORK,FRSH,LOIN,TOP LOIN (CHOPS),BNLESS,LN & FAT,CKD,BRSD",200,29.2,0,0,3.218,3.625,1.29,72
10068,"PORK,FRSH,LOIN,TOP LOIN (CHOPS),BNLESS,LN,CKD,BRLD",173,27.58,0,0,2.077,2.651,0.605,72
10219,"PORK,FRESH,GROUND,RAW",263,16.88,0,,7.87,9.44,1.91,72
10873,"PORK,CURED,HAM W/ NAT JUICES,RUMP,BONE-IN,LN,HTD,RSTD",137,24.14,0.48,0.48,1.418,1.995,0.711,72
10881,"PORK,CURED,HAM & H2O PRODUCT,SHANK,BONE-IN,LN,HTD,RSTD",132,21.69,1.26,1.26,1.471,1.966,0.713,72
10894,"PORK,CURED,HAM,FAT,BNLESS,HTD",507,8.77,2,0.28,17.048,23.798,6.47,72
10919,"PORK,CURED,HAM & H2O PRODUCT,SHANK,BONE-IN,LN & FAT,HTD,RSTD",234,18.17,1.42,0.99,5.715,7.914,2.281,72
10923,"PORK,CURED,HAM W/ NAT JUICES,RUMP,BONE-IN,LN & FAT,HTD,RSTD",177,22.47,0.6,0.45,3.116,4.364,1.337,72
11656,"CORN PUDD,HOME PREP",131,4.42,16.97,6.59,2.451,1.499,0.55,72
13066,"BEEF,FLANK,STEAK,LN & FAT,0"" FAT,CHOIC,CKD,BRSD",263,26.98,0,0,6.92,6.94,0.53,72
13817,"BEEF,CHUCK,BLADE RST,LN&FAT,1/8""FAT,CHOIC,RAW",265,16.98,0,0,8.59,9.36,0.78,72
13833,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,PRIME,RAW",355,16.15,0,,13.22,13.77,1.15,72
13841,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,CHOIC,RAW",333,16.03,0,,12.13,12.56,1.07,72
13874,"BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,SEL,RAW",187,20.68,0,0,4.303,4.723,0.417,72
13934,"BEEF,TOP SIRLOIN,STEAK,LN & FAT,1/8"" FAT,SEL,RAW",189,20.68,0,0,4.491,4.765,0.423,72
15233,"CATFISH,CHANNEL,WILD,CKD,DRY HEAT",105,18.47,0,,0.744,1.099,0.636,72
17001,"LAMB,DOM,COMP OF RTL CUTS,LN&FAT,1/4""FAT,CHOIC,RAW",267,16.88,0,,9.47,8.86,1.7,72
17007,"LAMB,DOM,FORESHANK,LN&FAT,1/4""FAT,CHOIC,RAW",201,18.91,0,,5.83,5.49,1.06,72
17019,"LAMB,DOM,LEG,SIRLOIN HALF,LN&FAT,1/4""FAT,CHOIC,RAW",272,16.94,0,,9.73,9.08,1.73,72
17035,"LAMB,DOM,SHLDR,WHL (ARM&BLD),LN&FAT,1/4""FAT,CHOIC,RAW",264,16.58,0,0,9.28,8.79,1.71,72
17051,"LAMB,DOM,SHLDR,BLADE,LN&FAT,1/4""FAT,CHOIC,RAW",259,16.63,0,,8.93,8.54,1.68,72
17228,"LAMB,DOM,FORESHANK,LN&FAT,1/8""FAT,CHOIC,RAW",201,18.91,0,,5.83,5.49,1.06,72
17236,"LAMB,DOM,LOIN,LN&FAT,1/8""FAT,CHOIC,RAW",279,17.18,0,,9.95,9.34,1.79,72
17342,"GAME MEAT,ELK,TENDERLOIN,LN,CKD,BRLD",162,30.76,0,0,1.342,0.97,0.161,72
17396,"LAMB,NZ,IMP,RACK - FULLY FRENCHED,LN,CKD,FAST RSTD",173,24.39,0,0,3.196,2.399,0.43,72
17412,"LAMB,NZ,IMP,NECK CHOPS,LN & FAT,RAW",231,17.43,0.14,0,7.514,4.988,0.683,72
17417,"LAMB,NZ,IMP,SQUARE-CUT SHLDR,LN & FAT,CKD,SLOW RSTD",294,20.88,0.03,0,9.332,6.446,0.881,72
17419,"LAMB,NZ,IMP,RACK - FULLY FRENCHED,LN & FAT,CKD,FAST RSTD",195,23.56,0.01,0,4.41,3.194,0.516,72
17425,"VEAL,LEG,TOP RND,CAP OFF,CUTLET,BNLESS,CKD,GRILLED",151,31.89,0,0,1.012,1.274,0.127,72
23183,"BEEF,RIB,BACK RIBS,BONE-IN,LN,0"" FAT,CHOIC,RAW",252,18.72,0.64,0,7.812,8.952,0.754,72
23313,"BEE,ASTRLN,WGYU,RB,SML END RB STK/RST,BLS,LN,MRBLSCR 4/5,RAW",234,20.35,0,0,6.536,8.451,0.523,72
23448,"BEEF,NZ,IMP,BRISKET NAVAL END,LN & FAT,CKD,BRSD",453,20.14,0,0,15.494,14.391,0.99,72
35149,"FISH,HALIBUT,RAW,W/ SKN (ALASKA NATIVE)",116,20.53,1.81,0,0.726,1.195,0.912,72
05123,"CHICKEN,STEWING,MEAT&SKN,RAW",258,17.55,0,0,5.71,8.24,4.44,71
05153,"PHEASANT,RAW,MEAT&SKN",181,22.7,0,,2.7,4.32,1.18,71
05193,"TURKEY,ALL CLASSES,LEG,MEAT&SKN,RAW",144,19.54,0,,2.06,2.06,1.83,71
05354,"USDA CMDTY,TURKEY TACO MEAT,FRZ,CKD",148,16.8,3.03,0,1.765,2.59,2.11,71
05623,"EMU,FAN FILLET,RAW",103,22.5,0,0,0.201,0.319,0.109,71
05625,"EMU,FLAT FILLET,RAW",102,22.25,0,0,0.187,0.295,0.102,71
05641,"OSTRICH,GROUND,RAW",165,20.22,0,0,2.177,2.654,0.91,71
05653,"OSTRICH,RND,RAW",116,21.99,0,0,0.81,0.85,0.52,71
05663,"GROUND TURKEY,FAT FREE,PAN-BROILED CRUMBLES",151,31.69,0,0,0.717,0.751,0.843,71
07065,"PORK&BF SAUSAGE,FRSH,CKD",396,13.8,2.7,0,12.96,17.18,3.9,71
07068,SALAMI  CKD  BF,261,12.6,1.9,1.5,9.865,10.648,1.036,71
07223,"OSCAR MAYER,OLIVE LOAF (CHICK,PORK,TURKEY)",263,9.9,6.9,3.2,7.02,11.13,2.63,71
07908,"LUNCHEON MEAT,PORK W/HAM,MINCED,CND,INCL SPAM (HORMEL)",315,13.4,4.6,0,9.987,13.505,2.019,71
07916,SAUSAGE  POLISH  PORK & BF  SMOKED,301,12.07,1.98,0,9.207,12.302,2.826,71
07923,"BRATWURST,CHICK,CKD",176,19.44,0,0,,,,71
10067,"PORK,FRSH,LOIN,TOP LOIN (CHOPS),BNLESS,LN,CKD,BRSD",170,30.54,0,0,1.657,1.934,0.551,71
10070,"PORK,FRSH,SHLDR,WHL,LN&FAT,RAW",236,17.18,0,0,6.24,8.01,1.92,71
10200,"PORK,FRSH,LOIN,CNTR RIB (CHOPS),BNLESS,LN,CKD,BRSD",211,27.95,0,0,3.96,4.85,0.73,71
10804,"USDA COMMODITY,PORK,CURED,HAM,BNLESS,CKD,UNHTD",133,17.44,0.69,,1.673,2.655,0.777,71
10929,"PORK,CURED,HAM,RUMP,BONE-IN,LN & FAT,HTD,RSTD",177,23.95,0.64,0.64,2.85,3.791,1.27,71
10931,"PORK,CURED,HAM,RUMP,BONE-IN,LN,HTD,RSTD",132,26.02,0.68,0.68,0.917,1.067,0.562,71
10950,"PORK,FRSH,ENHCD,LN,TOP LOIN (CHOPS),BNLESS,LN & FAT,CKD,BRLD",198,28.33,0.02,0,3.268,3.819,1.304,71
13069,"BEEF,FLANK,STEAK,LN,0"" FAT,CHOIC,CKD,BRSD",237,28.02,0,0,5.54,5.44,0.39,71
13342,"BEEF,SNDWCH STEAKS,FLAKED,CHOPD,FORMED & THINLY SLICED,RAW",309,16.5,0,0,11.538,11.038,0.488,71
13426,"BEEF,RND,TIP RND,RST,LN,0"" FAT,SEL,CKD,RSTD",149,27.37,0,0,1.563,1.794,0.161,71
13523,"BEEF,SHLDR TOP BLADE STEAK,BNLESS,LN,0"" FAT,SEL,RAW",133,20.39,0,0,2.472,2.88,0.375,71
13807,"BEEF,BRISKET,POINT HALF,LN&FAT,1/8""FAT,ALL GRDS,RAW",265,17.65,0,0,8.42,9.53,0.69,71
13815,"BEEF,CHUCK,BLADE RST,LN&FAT,1/8""FAT,ALL GRDS,RAW",248,17.16,0,0,7.82,8.52,0.71,71
13819,"BEEF,CHUCK,BLADE RST,LN&FAT,1/8""FAT,SEL,RAW",230,17.37,0,0,6.99,7.6,0.63,71
13827,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,CHOIC,RAW",322,16.34,0,,11.51,12.02,1.01,71
13838,"BEEF,RIB,LRG END (RIBS 6-9),LN&FAT,1/8""FAT,ALL GRDS,RAW",316,16.26,0,,11.29,11.69,1,71
13903,"BEEF,SHLDR TOP BLADE STEAK,BNLESS,LN & FAT,0"" FAT,SEL,RAW",137,20.28,0,0,2.54,2.95,0.66,71
15011,"CATFISH,CHANNEL,CKD,BREADED&FRIED",229,18.09,8.04,,3.288,5.611,3.325,71
15065,"POLLOCK,ATLANTIC,RAW",92,19.44,0,0,0.135,0.112,0.483,71
15168,"OYSTER,EASTERN,CKD,BREADED&FRIED",199,8.77,11.62,,3.197,4.702,3.313,71
15209,"SALMON,ATLANTIC,WILD,CKD,DRY HEAT",182,25.44,0,,1.257,2.697,3.256,71
15225,"YELLOWTAIL,MXD SP,CKD,DRY HEAT",187,29.67,0,,,,,71
15227,"CRAB,QUEEN,CKD,MOIST HEAT",115,23.72,0,,0.183,0.328,0.54,71
17043,"LAMB,DOM,SHLDR,ARM,LN&FAT,1/4""FAT,CHOIC,RAW",260,16.79,0,,9.15,8.58,1.65,71
